TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
BAC,2022,2022,FY,27528000000,1978000000,739000000,2862000000,-51944000000,0,0,0,-51944000000,12510000000,-6327000000,0,0,-159058000000,243161000000,-86632000000,-2529000000,-34055000000,0,-5727000000,-8576000000,-57681000000,-106039000000,-3123000000,-118018000000,-6327000000,0,-6327000000
BAC,2021,2021,FY,31978000000,1898000000,-838000000,2768000000,-39920000000,0,0,0,-39920000000,-3079000000,-7193000000,0,0,-601134000000,291389000000,-3546000000,-313291000000,-46826000000,0,-27097000000,-8055000000,373628000000,291650000000,-3408000000,-32242000000,-7193000000,0,-7193000000
BAC,2020,2020,FY,17894000000,1843000000,-1737000000,2031000000,-326000000,0,0,0,-326000000,18288000000,37993000000,0,0,-452412000000,262443000000,12304000000,-177665000000,-47948000000,0,-8097000000,-7727000000,419591000000,355819000000,2756000000,218903000000,37993000000,0,37993000000
BAC,2019,2019,FY,27430000000,1729000000,2435000000,1974000000,13170000000,0,0,0,13170000000,15039000000,61777000000,0,0,-189897000000,165890000000,-56623000000,-80630000000,-50794000000,0,-30712000000,-5934000000,90817000000,3377000000,-368000000,-15844000000,61777000000,0,61777000000
BAC,2018,2018,FY,28147000000,2063000000,3041000000,1729000000,1257000000,0,0,0,-23673000000,3283000000,39520000000,0,0,-112620000000,102419000000,-61267000000,-71468000000,-53046000000,0,-24606000000,-6895000000,137665000000,53118000000,-1200000000,19970000000,39520000000,0,39520000000
BAC,2017,2017,FY,18232000000,2103000000,8175000000,1649000000,-29125000000,0,0,0,-13939000000,9369000000,10403000000,0,0,-192063000000,183880000000,-43824000000,-52007000000,-49553000000,0,-12814000000,-5700000000,117262000000,49195000000,2105000000,9696000000,10403000000,0,10403000000
BAC,2016,2016,FY,17906000000,2241000000,5841000000,1235000000,-14703000000,0,0,0,-866000000,5786000000,18306000000,0,0,-228960000000,199115000000,-33298000000,-63143000000,-51849000000,0,-5112000000,-4194000000,94137000000,32982000000,240000000,-11615000000,18306000000,0,18306000000
BAC,2015,2015,FY,15888000000,2389000000,3108000000,0,6480000000,0,0,0,3292000000,-135000000,27730000000,0,0,-255987000000,243272000000,-42239000000,-54954000000,-40365000000,0,-2374000000,-3574000000,94898000000,48585000000,-597000000,20764000000,27730000000,0,27730000000
BAC,2014,2014,FY,4833000000,2522000000,726000000,0,18703000000,0,0,0,6621000000,-45000000,26739000000,0,0,-293845000000,248241000000,41400000000,-4204000000,-53749000000,0,-1675000000,-2306000000,45529000000,-12201000000,-3067000000,7267000000,26739000000,-1160000000,25579000000
BAC,2013,2013,FY,11431000000,2683000000,3262000000,0,56105000000,0,0,0,33870000000,19336000000,92817000000,0,0,-190371000000,217857000000,-2428000000,25058000000,-65602000000,0,-9681000000,-1677000000,-18482000000,-95442000000,-1863000000,20570000000,92817000000,-521000000,92296000000
