TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
AAPL,2022,2022,FY,23646000000,24658000000,48304000000,60932000000,4946000000,21223000000,135405000000,42117000000,0,0,0,120805000000,0,54428000000,217350000000,0,352755000000,64115000000,21110000000,0,7912000000,60845000000,153982000000,98959000000,0,0,54964000000,148101000000,0,0,302083000000,0,64849000000,-3068000000,-11109000000,0,50672000000,50672000000,352755000000,0,352755000000,145463000000,120069000000,96423000000
AAPL,2021,2021,FY,34940000000,27699000000,62639000000,51506000000,6580000000,14111000000,134836000000,39440000000,0,0,0,127877000000,0,48849000000,216166000000,0,351002000000,54763000000,15613000000,0,7612000000,47493000000,125481000000,109106000000,0,0,84443000000,162431000000,0,0,287912000000,0,57365000000,5562000000,163000000,0,63090000000,63090000000,351002000000,0,351002000000,155576000000,124719000000,89779000000
AAPL,2020,2020,FY,38016000000,52927000000,90943000000,37445000000,4061000000,11264000000,143713000000,36766000000,0,0,0,100887000000,0,42522000000,180175000000,0,323888000000,42296000000,13769000000,0,6643000000,42684000000,105392000000,98667000000,0,0,90449000000,153157000000,0,0,258549000000,0,50779000000,14966000000,-406000000,0,65339000000,65339000000,323888000000,0,323888000000,153814000000,112436000000,74420000000
AAPL,2019,2019,FY,48844000000,51713000000,100557000000,45804000000,4106000000,12352000000,162819000000,37378000000,0,0,0,105341000000,0,32978000000,175697000000,0,338516000000,46236000000,16240000000,0,5522000000,37720000000,105718000000,91807000000,0,0,74312000000,142310000000,0,0,248028000000,0,45174000000,45898000000,-584000000,0,90488000000,90488000000,338516000000,0,338516000000,157054000000,108047000000,59203000000
AAPL,2018,2018,FY,25913000000,40388000000,66301000000,48995000000,3956000000,12087000000,131339000000,41304000000,0,0,0,170799000000,0,22283000000,234386000000,0,365725000000,55888000000,20748000000,0,7543000000,32687000000,116866000000,93735000000,2797000000,426000000,57533000000,141712000000,0,0,258578000000,0,40201000000,70400000000,-3454000000,0,107147000000,107147000000,365725000000,0,365725000000,211187000000,114483000000,88570000000
AAPL,2017,2017,FY,20289000000,53892000000,74181000000,35673000000,4855000000,13936000000,128645000000,33783000000,5717000000,2298000000,8015000000,194714000000,0,10162000000,246674000000,0,375319000000,49049000000,18473000000,0,7548000000,25744000000,100814000000,97207000000,2836000000,31504000000,65388000000,140458000000,0,0,241272000000,0,35867000000,98330000000,-150000000,0,134047000000,134047000000,375319000000,0,375319000000,248606000000,115680000000,95391000000
AAPL,2016,2016,FY,20484000000,46671000000,67155000000,29299000000,2132000000,8283000000,106869000000,27010000000,5414000000,3206000000,8620000000,170430000000,0,8757000000,214817000000,0,321686000000,37294000000,11605000000,0,8080000000,22027000000,79006000000,75427000000,2930000000,26019000000,57452000000,114431000000,0,0,193437000000,0,31251000000,96364000000,634000000,0,128249000000,128249000000,321686000000,0,321686000000,217101000000,87032000000,66548000000
AAPL,2015,2015,FY,21120000000,20481000000,41601000000,30343000000,2349000000,9539000000,89378000000,22471000000,5116000000,3893000000,9009000000,164065000000,0,5556000000,201101000000,0,290479000000,35490000000,10999000000,0,8940000000,25181000000,80610000000,53463000000,3624000000,24062000000,35085000000,90514000000,0,0,171124000000,0,27416000000,92284000000,-345000000,0,119355000000,119355000000,290479000000,0,290479000000,184546000000,64462000000,43342000000
AAPL,2014,2014,FY,13844000000,11233000000,25077000000,27219000000,2111000000,9806000000,68531000000,20624000000,4616000000,4142000000,8758000000,130162000000,0,3764000000,163308000000,0,231839000000,30196000000,6308000000,1209000000,8491000000,18453000000,63448000000,28987000000,3031000000,20259000000,11849000000,56844000000,0,0,120292000000,0,23313000000,87152000000,1082000000,0,111547000000,111547000000,231839000000,0,231839000000,141395000000,35295000000,21451000000
AAPL,2013,2013,FY,14259000000,26287000000,40546000000,20641000000,1764000000,6882000000,73286000000,16597000000,1577000000,4179000000,5756000000,106215000000,0,5146000000,133714000000,0,207000000000,22367000000,0,1200000000,7435000000,13856000000,43658000000,16960000000,2625000000,16489000000,9991000000,39793000000,0,0,83451000000,0,19764000000,104256000000,-471000000,0,123549000000,123549000000,207000000000,0,207000000000,132502000000,16960000000,2701000000
AAPL,2012,2012,FY,10746000000,18383000000,29129000000,18692000000,791000000,6458000000,57653000000,15452000000,1135000000,4224000000,5359000000,92122000000,0,5478000000,118411000000,0,176064000000,21175000000,0,1535000000,5953000000,11414000000,38542000000,0,2648000000,13847000000,-7816000000,19312000000,0,0,57854000000,0,16422000000,101289000000,499000000,0,118210000000,118210000000,176064000000,0,176064000000,110505000000,0,-10746000000
AAPL,2011,2011,FY,9815000000,16137000000,25952000000,11717000000,776000000,4529000000,44988000000,7777000000,896000000,3536000000,4432000000,55618000000,0,3556000000,71383000000,0,116371000000,14632000000,0,1140000000,4091000000,9247000000,27970000000,0,1686000000,8159000000,-6937000000,11786000000,0,0,39756000000,0,13331000000,62841000000,443000000,0,76615000000,76615000000,116371000000,0,116371000000,71755000000,0,-9815000000
AAPL,2010,2010,FY,11261000000,14359000000,25620000000,9924000000,1051000000,3447000000,41678000000,4768000000,741000000,342000000,1083000000,25391000000,0,2263000000,33505000000,0,75183000000,12015000000,0,210000000,2984000000,5723000000,20722000000,0,1139000000,0,-8329000000,6670000000,0,0,27392000000,0,10668000000,37169000000,-46000000,0,47791000000,47791000000,75183000000,0,75183000000,39750000000,0,-11261000000
AAPL,2009,2009,FY,5263000000,18201000000,23464000000,3361000000,455000000,6884000000,36265000000,2954000000,206000000,247000000,453000000,10528000000,259000000,3392000000,17586000000,0,53851000000,5601000000,0,439000000,10305000000,3376000000,19282000000,0,4485000000,966000000,-9169000000,6737000000,0,0,26019000000,0,8210000000,19538000000,84000000,0,27832000000,27832000000,53851000000,0,53851000000,28729000000,0,-5263000000
AAPL,2008,2008,FY,11875000000,12615000000,24490000000,2422000000,509000000,5822000000,34690000000,2455000000,207000000,285000000,492000000,0,138000000,1797000000,4882000000,0,39572000000,5520000000,0,100000000,4853000000,3719000000,14092000000,0,3029000000,675000000,-5923000000,4450000000,0,0,18542000000,0,7177000000,13845000000,8000000,0,21030000000,21030000000,39572000000,0,39572000000,12615000000,0,-11875000000
AAPL,2007,2007,FY,9352000000,6034000000,15386000000,4029000000,346000000,996000000,21956000000,1832000000,38000000,299000000,337000000,0,88000000,1134000000,3391000000,0,25347000000,4970000000,0,488000000,1410000000,2919000000,9299000000,0,830000000,619000000,-4864000000,1516000000,0,0,10815000000,0,5368000000,9101000000,63000000,0,14532000000,14532000000,25347000000,0,25347000000,6034000000,0,-9352000000
AAPL,2006,2006,FY,6392000000,3718000000,10110000000,2845000000,270000000,469000000,14509000000,1281000000,38000000,139000000,177000000,0,0,1238000000,2696000000,0,17205000000,3390000000,0,388000000,746000000,2335000000,6471000000,0,355000000,381000000,-3386000000,750000000,0,0,7221000000,0,4355000000,5607000000,22000000,0,9984000000,9984000000,17205000000,0,17205000000,3718000000,0,-6392000000
AAPL,2005,2005,FY,3491000000,4770000000,8261000000,1312000000,165000000,231000000,10300000000,817000000,69000000,27000000,96000000,0,183000000,155000000,1251000000,0,11551000000,1779000000,0,0,501000000,1204000000,3484000000,0,281000000,308000000,-1679000000,601000000,0,0,4085000000,0,3521000000,4005000000,0,-60000000,7466000000,7466000000,11551000000,0,11551000000,4770000000,0,-3491000000
AAPL,2004,2004,FY,2969000000,2495000000,5464000000,1050000000,101000000,209000000,7055000000,707000000,80000000,17000000,97000000,0,86000000,105000000,995000000,0,8050000000,1451000000,0,0,544000000,685000000,2680000000,0,0,294000000,-1701000000,294000000,0,0,2974000000,0,2514000000,2670000000,-15000000,-93000000,5076000000,5076000000,8050000000,0,8050000000,2495000000,0,-2969000000
AAPL,2003,2003,FY,3396000000,1170000000,4566000000,950000000,56000000,125000000,5887000000,669000000,85000000,24000000,109000000,5000000,60000000,85000000,928000000,0,6815000000,1154000000,304000000,0,368000000,531000000,2357000000,0,0,235000000,-1591000000,235000000,0,0,2592000000,0,1926000000,2394000000,-35000000,-62000000,4223000000,4223000000,6815000000,0,6815000000,1175000000,304000000,-3092000000
