TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
BRK.A,2022,2022,FY,35811000000,92774000000,128585000000,48301000000,0,0,176886000000,196965000000,78119000000,29187000000,107306000000,454745000000,0,-759016000000,759016000000,12550000000,948452000000,0,2429000000,0,6820000000,-6820000000,2429000000,120315000000,0,77020000000,-6820000000,2429000000,462977000000,0,467835000000,0,8000000,511602000000,-6591000000,-32659000000,472360000000,472360000000,948452000000,0,948452000000,477953000000,122744000000,86933000000
BRK.A,2021,2021,FY,88184000000,58535000000,146719000000,39565000000,0,0,186284000000,191282000000,73875000000,28486000000,102361000000,443063000000,0,-736706000000,736706000000,35794000000,958784000000,0,2351000000,0,0,-2351000000,2351000000,111911000000,0,90243000000,-2351000000,2351000000,439152000000,0,443854000000,0,8000000,534421000000,-4027000000,-24203000000,506199000000,506199000000,958784000000,0,958784000000,463814000000,114262000000,26078000000
BRK.A,2020,2020,FY,47990000000,90300000000,138290000000,35852000000,0,0,174142000000,187017000000,73734000000,30684000000,104418000000,409183000000,0,-700618000000,700618000000,-1031000000,873729000000,0,3348000000,0,0,-3348000000,3348000000,113547000000,0,74098000000,-3348000000,3348000000,415697000000,0,422393000000,0,8000000,444626000000,-4243000000,2773000000,443164000000,443164000000,873729000000,0,873729000000,428384000000,116895000000,68905000000
BRK.A,2019,2019,FY,64175000000,63822000000,127997000000,35835000000,0,0,163832000000,174341000000,81882000000,31646000000,113528000000,348039000000,0,-635908000000,635908000000,17989000000,817729000000,0,4686000000,0,0,-4686000000,4686000000,98682000000,5281000000,66799000000,-4686000000,4686000000,379794000000,0,389166000000,0,8000000,402493000000,-5243000000,27533000000,424791000000,424791000000,817729000000,0,817729000000,365566000000,103368000000,39193000000
BRK.A,2018,2018,FY,30361000000,81506000000,111867000000,35230000000,0,0,0,166706000000,81025000000,32148000000,113173000000,291486000000,0,0,0,707794000000,707794000000,0,4373000000,0,0,0,0,93117000000,4593000000,51375000000,0,0,355294000000,0,355294000000,0,8000000,321112000000,-5015000000,32598000000,348703000000,348703000000,703997000000,0,703997000000,372992000000,97490000000,67129000000
BRK.A,2017,2017,FY,31583000000,84371000000,115954000000,28578000000,0,0,0,158219000000,81258000000,33182000000,114440000000,287385000000,0,0,0,702095000000,702095000000,0,6320000000,0,0,0,0,96267000000,0,56607000000,0,0,350141000000,0,350141000000,0,8000000,255786000000,58571000000,33931000000,348296000000,348296000000,698437000000,0,698437000000,371756000000,102587000000,71004000000
BRK.A,2016,2016,FY,86370000000,23432000000,109802000000,27097000000,0,0,0,152773000000,79486000000,34086000000,113572000000,159656000000,0,0,0,620854000000,620854000000,0,2094000000,0,0,0,0,99550000000,0,77944000000,0,0,334495000000,0,334495000000,0,8000000,211777000000,37298000000,33918000000,283001000000,283001000000,617496000000,0,617496000000,183088000000,101644000000,15274000000
BRK.A,2015,2015,FY,71730000000,25988000000,97718000000,23303000000,0,0,0,145166000000,62708000000,9797000000,72505000000,160035000000,0,0,0,552257000000,552257000000,0,1989000000,0,0,0,0,82300000000,0,63126000000,0,0,293630000000,0,293630000000,0,8000000,187703000000,33982000000,33857000000,255550000000,255550000000,549180000000,0,549180000000,186023000000,84289000000,12559000000
BRK.A,2014,2014,FY,63269000000,27397000000,90666000000,21852000000,0,0,0,137244000000,60714000000,9941000000,70655000000,155885000000,0,0,0,526186000000,526186000000,0,839000000,0,0,0,0,79370000000,0,61235000000,0,0,283159000000,0,283159000000,0,8000000,163620000000,42732000000,33810000000,240170000000,240170000000,523329000000,0,523329000000,183282000000,80209000000,16940000000
BRK.A,2013,2013,FY,48186000000,28785000000,76971000000,20497000000,0,0,0,122214000000,57011000000,9183000000,66194000000,157866000000,0,0,0,484931000000,484931000000,0,949000000,0,0,0,0,71275000000,0,57739000000,0,0,260446000000,0,260446000000,0,8000000,143748000000,44025000000,34109000000,221890000000,221890000000,482336000000,0,482336000000,186651000000,72224000000,24038000000
BRK.A,2012,2012,FY,46992000000,31449000000,78441000000,21753000000,0,0,0,106872000000,54523000000,0,54523000000,118758000000,0,0,0,427452000000,427452000000,0,1416000000,0,0,0,0,61320000000,0,44494000000,0,0,235864000000,0,235864000000,0,8000000,124272000000,27500000000,35867000000,187647000000,187647000000,423511000000,0,423511000000,150207000000,62736000000,15744000000
