TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
MCO,2022,2022,FY,5468000000,1613000000,3855000000,0.7050109729,0,0,0,1527000000,331000000,1858000000,3471000000,15000000,246000000,508000000,2391000000,0.4372713972,1883000000,0.3443672275,-123000000,1760000000,0.321872714,386000000,1374000000,0.2512801756,7.47,7.44,183900000,184700000
MCO,2021,2021,FY,6218000000,1637000000,4581000000,0.7367320682,0,0,0,1480000000,257000000,1737000000,3374000000,30000000,201000000,383000000,3227000000,0.5189771631,2844000000,0.4573817948,-89000000,2755000000,0.4430685108,541000000,2214000000,0.3560630428,11.88,11.78,186400000,187900000
MCO,2020,2020,FY,5371000000,1475000000,3896000000,0.7253770248,0,0,0,1229000000,220000000,1449000000,2924000000,11000000,216000000,334000000,2722000000,0.506795755,2388000000,0.4446099423,-159000000,2229000000,0.4150065165,452000000,1778000000,0.3310370508,9.48,9.39,187600000,189300000
MCO,2019,2019,FY,4829000000,1387000000,3442000000,0.7127769725,0,0,0,1167000000,200000000,1367000000,2754000000,17000000,225000000,332000000,2330000000,0.4825015531,1998000000,0.4137502589,-188000000,1810000000,0.3748188031,381000000,1422000000,0.2944709049,7.51,7.42,189300000,191600000
MCO,2018,2018,FY,4442700000,1245500000,3197200000,0.7196524636,0,0,0,1080100000,191900000,1272000000,2517500000,14700000,230700000,215600000,2083800000,0.4690390978,1868200000,0.4205100502,-197200000,1671000000,0.3761226281,351600000,1309600000,0.2947756995,6.84,6.74,191600000,194400000
MCO,2017,2017,FY,4204100000,1222800000,2981300000,0.7091410766,0,0,0,991400000,158300000,1149700000,2372500000,16000000,204400000,333300000,2142400000,0.5095977736,1809100000,0.4303180229,-22300000,1786800000,0.4250136771,779100000,1000600000,0.2380057563,5.24,5.15,191100000,194200000
MCO,2016,2016,FY,3604200000,1026600000,2577600000,0.7151656401,0,0,0,936400000,125100000,1061500000,2088100000,10900000,148700000,185500000,824200000,0.2286776538,638700000,0.1772099218,-80700000,558000000,0.1548193774,282200000,266600000,0.0739692581,1.38,1.36,192700000,195400000
MCO,2015,2015,FY,3484500000,976300000,2508200000,0.7198163295,0,0,0,921300000,107100000,1028400000,2004700000,9700000,124800000,136200000,1609600000,0.4619314105,1473400000,0.4228440235,-93800000,1379600000,0.3959248099,430000000,941300000,0.2701391878,4.7,4.63,200100000,203400000
MCO,2014,2014,FY,3334300000,930300000,2404000000,0.7209909126,0,0,0,869300000,89200000,958500000,1888800000,6700000,123500000,223700000,1662800000,0.4986953783,1439100000,0.4316048346,21900000,1461000000,0.4381729299,455000000,988700000,0.296524008,4.69,4.61,210700000,214700000
MCO,2013,2013,FY,2972500000,822400000,2150100000,0.7233305299,0,0,0,822100000,74200000,896300000,1718700000,5500000,97300000,114000000,1348600000,0.4536921783,1234600000,0.4153406224,-65300000,1169300000,0.393372582,353400000,804500000,0.270647603,3.67,3.6,219400000,223500000
MCO,2012,2012,FY,2730300000,795000000,1935300000,0.7088232062,0,0,0,752200000,80700000,832900000,1627900000,5200000,69000000,99400000,1176800000,0.4310149068,1077400000,0.3946086511,-53400000,1024000000,0.3750503608,324300000,690000000,0.2527194814,3.09,3.05,223200000,226600000
MCO,2011,2011,FY,2280700000,683500000,1597200000,0.7003113079,0,0,0,629600000,79200000,708800000,1392300000,5300000,67400000,91400000,979800000,0.4296049458,888400000,0.3895295304,-48600000,839800000,0.3682202832,261800000,571400000,0.2505371158,2.52,2.49,226300000,229400000
MCO,2010,2010,FY,2032000000,604800000,1427200000,0.7023622047,0,0,0,588000000,66300000,654300000,1259100000,3100000,55600000,57900000,830700000,0.4088090551,772800000,0.3803149606,-58400000,714400000,0.3515748031,201000000,507800000,0.2499015748,2.16,2.15,235000000,236600000
MCO,2009,2009,FY,1797200000,532400000,1264800000,0.7037614066,0,0,0,495700000,64100000,559800000,1092200000,2500000,35900000,53600000,741100000,0.4123636768,687500000,0.3825395059,-41300000,646200000,0.3595593145,239100000,402000000,0.223681282,1.7,1.69,236100000,237800000
MCO,2008,2008,FY,1755400000,493300000,1262100000,0.7189814287,0,0,0,441300000,75100000,516400000,1009700000,0,22400000,52700000,800900000,0.4562492879,748200000,0.4262276404,-22400000,725800000,0.4134670161,268200000,457600000,0.2606813262,1.89,1.87,242400000,245300000
MCO,2007,2007,FY,2259000000,584000000,1675000000,0.7414785303,0,0,0,451100000,42900000,494000000,1078000000,0,14300000,28600000,1159600000,0.5133244799,1131000000,0.5006640106,-14300000,1116700000,0.494333776,415200000,701500000,0.3105356352,2.63,2.58,266400000,272200000
